,video_id,signer_id,duration,split,label_type,label,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,SignBank Reference ID
85133,uhdBQ9cLSPTCAkvOj6ko,42,1105,train,freetext,ran,,,,,,,,,,,,,,,,,,
52435,vw74HcbvAlKFkp8et5fH,62,962,train,asllex,analyze,v,im,Fully Open,1,1,0,Closed,0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,1,v,0,812
2392,jn13Zt54bloJtRHD0Zt6,61,1978,test,signbank,963,,,,,,,,,,,,,,,,,,
86231,RV0tv5WgYJvBt1Ruqop5,31,1412,train,freetext,selfie,,,,,,,,,,,,,,,,,,
58154,urFjpMo0BacReZjN5oVv,57,1239,test,asllex,leave_alone,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Back And Forth,0,Neutral,Neutral,Neutral,0,5,0,492
46784,LQ0rDSScznaWKaCgW7BY,61,1519,test,asllex,stay,y,p,Fully Open,0,,,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,y,0,543
88148,UWVIAkUAhfeb2IeWM4zy,53,5210,test,freetext,swim,,,,,,,,,,,,,,,,,,
59167,rxxaY1lbWrFXbEnQyX0D,39,2272,train,asllex,hard_of_hearing,h,im,Fully Open,,0,,Closed,0,One Handed,Curved,0,Neutral,Neutral,Neutral,0,,0,1839
39029,e6ZNJToY6qt0KnihTmNH,8,1529,train,freetext,chills,,,,,,,,,,,,,,,,,,
43027,dIcrd57ku0WcX8wVOVOx,84,1683,train,asllex,destroy,5,imrp,Fully Open,1,1,1,Open,0,Symmetrical Or Alternating,Back And Forth,0,Neutral,Neutral,Neutral,1,5,0,1250
62463,wIXwT582cuDRSn7bO8Qi,15,1474,train,asllex,dark_2,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Curved,0,Head,Head Away,Head Away,0,open_b,0,100
60375,rFJWINmmExv8KcVFXR1Z,57,1401,test,asllex,welcome_1,c,imrp,Curved,0,0,0,Open,0,One Handed,Curved,0,Body,Body Away,Torso Bottom,1,,1,1476
83264,qScuR40XtFqUQOEriGWo,84,1909,train,freetext,not-cooperate,,,,,,,,,,,,,,,,,,
41702,CHlLCwNNp9lKIZqLRye2,84,2147,train,asllex,specific,baby_o,i,Bent,0,,,Open,1,Dominance Violation,Circular,0,Hand,Hand Away,Finger Tip,1,Dominance Condition Violation,1,810
1363,1KzGzeCqRmzU8U1ZmBBm,57,2695,test,asllex,butter,flat_h,im,Flat,1,0,0,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm,Hand Away,1,B,0,2144
48976,cQxyQStJ0AuZBKHvk4Qt,49,1284,train,asllex,fan,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Different Handshape,None,1,Hand,Finger Tip,,1,1,1,
40476,Q2CkkJeNoGDKm6zaNyse,49,1523,train,asllex,forever_2,y,p,Fully Open,0,,,Open,0,One Handed,Straight,0,Head,Forehead,Head Away,1,,0,
20631,Il0pLQu2XEEAjKeuIm4C,42,1840,train,asllex,upload,v,im,Fully Open,1,1,0,Closed,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,v,0,
22116,wu812Y5nzrBgkDi4ZTBk,8,1318,train,asllex,guess_1,o,imrp,Curved,1,0,0,Open,1,One Handed,Curved,0,Head,Head Away,Head Away,0,,0,608
54708,MQMeLhX0OstAB4bi3bqh,38,5098,train,asllex,wade,v,im,Fully Open,0,1,0,Closed,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,v,0,
49034,py3qkurAMrJAmTNYIgk8,38,2481,train,freetext,dress_up,,,,,,,,,,,,,,,,,,
49237,IMdNDu7dnhM1h0dj9PKS,78,2402,train,asllex,law,l,i,Fully Open,0,,,Open,0,Asymmetrical Different Handshape,Curved,0,Hand,Finger Front,Palm,1,B,0,1687
90639,q1tC8zrMzKkKPCPD5R3F,7,2510,train,freetext,whip,,,,,,,,,,,,,,,,,,
18400,ZZhTp2nqfjstLqyNsdUr,35,1274,train,asllex,camera,l,i,Fully Open,1,,,Open,0,Asymmetrical Different Handshape,None,1,Head,Head Away,,0,1,0,375
82390,wVNnsJWvYgZqGuKln8uU,57,2758,test,freetext,nervous,,,,,,,,,,,,,,,,,,
61342,86AdLePwk4K7vzsbYyUK,49,767,train,asllex,long_time,y,p,Fully Open,0,,,Open,0,One Handed,Straight,0,Head,Forehead,Head Away,1,,0,175
11053,ePgxt1xmBw1fTrzuwGhm,7,1915,train,asllex,eat_1,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,1,Head,Mouth,,1,,0,399
46783,QyKeR7lAisBVMyHM7q0W,84,1722,train,asllex,dining_room,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,1,Head,Mouth,,1,,0,
5304,kGTT3AUkLjvx4n2FfN6k,84,1565,train,signbank,2744,,,,,,,,,,,,,,,,,,
5725,c6k42tYpAaR3kIdQQmyb,46,2663,train,signbank,3172,,,,,,,,,,,,,,,,,,
12107,cG8hC9x01O3s7ccnMxlQ,30,1597,train,asllex,same_2,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,1,0,534
38763,PbfE63O7eSY78fWZ4qFg,57,1250,test,asllex,hot_competition,a,t,,,,,Open,,Symmetrical Or Alternating,None,1,Neutral,Neutral,,1,a,1,
19010,lKF3SicniXZaQhBuRJ6A,84,1622,train,asllex,recording,open_8,m,Flat,0,,,Open,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,open_8,0,951
84777,CsDPDCqZfNoKRUymtZdh,88,3721,train,freetext,prey,,,,,,,,,,,,,,,,,,
83125,qhwRVXd6FpGcEdoygekF,46,1968,train,freetext,not_profit,,,,,,,,,,,,,,,,,,
21066,B7iFS3RllW2jWiwmmrHm,46,1471,train,asllex,front,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Straight,1,Head,Head Away,Head Away,0,,0,138
3970,pMgWjiqEGVjafHCZAW53,46,2277,train,asllex,water,w,p,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,1414
56441,5K3lFsFMXcsZcVSc53bb,36,1931,test,asllex,precious,curved_5,imrp,Curved,1,1,1,Open,1,One Handed,Straight,0,Head,Chin,Head Away,1,,0,923
49229,BdNMFrekrC7OPU7tU2XZ,39,2377,train,asllex,flipflops,1,i,Fully Open,0,,,Closed,0,Asymmetrical Different Handshape,Straight,1,Hand,Other,,1,5,0,
960,rUCmUGNYoUAbJ6pIKtYg,63,1285,train,asllex,paper,5,imrp,Fully Open,0,1,0,Open,0,Asymmetrical Same Handshape,Curved,1,Hand,Palm,Hand Away,1,5,0,588
13306,wWCshO5rbd0zbmEu5Jyd,12,2156,train,asllex,warm,s,imrp,Fully Closed,1,,1,Open,1,One Handed,Straight,0,Head,Mouth,Head Away,0,,0,1410
46164,Hfr3alXmSaqiF2BS5qnP,48,2299,test,asllex,dessert,d,m,Curved,0,,,Open,1,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,,1,1,0,1249
44683,T7bLxakBFbNxmqT7L2h1,84,1076,train,asllex,wow,1,m,Curved,1,,,Open,1,One Handed,Straight,0,Neutral,Neutral,,0,,0,3325
72713,Ve16UNos3Pg7NfglLTMt,54,1693,train,freetext,infinity,,,,,,,,,,,,,,,,,,
47792,jQ4eaAH6jhJkfZAIKRnL,84,1208,train,asllex,hot,flatspread_5,imrp,Flat,0,1,0,Open,0,One Handed,Curved,0,Head,Head Away,Head Away,0,,1,485
90967,g0cIgZzfzl7EQJYl7az3,50,2060,test,freetext,wrist,,,,,,,,,,,,,,,,,,
57041,yKSFlEp4FMKRrRvd7qRq,49,1694,train,asllex,erupt_1,o,imrp,Curved,1,0,1,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Other,Hand Away,1,C,0,
45277,0HsrqScXuWDb1AgsJT8y,64,2267,test,asllex,easel,i,p,Fully Open,0,,,Closed,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm,Palm,1,B,0,444
49630,M2wmUDAh7byPVYwWtsHP,17,1925,train,asllex,soon_1,f,i,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,266
35857,dGWZqWLe98f8MjaUkz9K,36,2591,test,asllex,inject,a,t,,1,,,Open,,One Handed,Straight,0,Arm,Upper Arm,,1,,0,2968
63775,R9DxC8PdPbhCjbM80849,61,1343,test,asllex,catch_baseball,s,imrp,Fully Closed,0,,0,Closed,1,Asymmetrical Different Handshape,Curved,0,Hand,Hand Away,Palm,1,C,0,70
17816,sP1LCqizPcYkJ41fVf8f,33,3490,test,asllex,fight,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,s,0,132
88480,phyzoEH3U54ENk4zj1en,49,1552,train,freetext,tell_eachother,,,,,,,,,,,,,,,,,,
29568,hwQxZh7hZNeO4XCf3Ot3,46,2433,train,asllex,honor,h,im,Fully Open,0,0,0,Closed,0,Symmetrical Or Alternating,Curved,0,Head,Forehead,Head Away,0,h,0,2606
766,HKsmfZoacR1TE1trqC4p,11,2058,train,asllex,room,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,,0,open_b,0,242
49659,1EEMxbW3dZ4YkmkDbyfw,15,1040,val,asllex,soon_1,f,i,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,266
58605,inblgqT7LCk7hJg3vQQn,62,1309,train,asllex,time_to_time,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Z-shaped,0,Neutral,Neutral,Neutral,0,,0,1239
3402,dR5jeoca0CMrFnhT0mOu,35,1565,train,asllex,kitchen,p,im,Stacked,0,,0,Open,1,Asymmetrical Different Handshape,Curved,0,Hand,Palm,Palm,1,B,1,557
3619,5nem0rENyiTS7dKnLeU1,88,2423,train,signbank,1613,,,,,,,,,,,,,,,,,,
41827,quA2bHN5NO3yWooxbt18,39,2480,train,asllex,blow,o,imrp,Curved,1,0,1,Open,1,Symmetrical Or Alternating,Curved,0,Head,Mouth,Head Away,1,o,0,43
19857,apMDH1vuYFEtrW4lepji,59,2561,train,asllex,baby,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,open_b,0,407
953,LPhXJXxPiBsVrGnBYlsC,17,1860,train,signbank,471,,,,,,,,,,,,,,,,,,
20246,6uu1CgpaLY1U4qYjGXBO,84,1745,train,asllex,pretty,5,imrp,Fully Open,1,1,1,Open,1,One Handed,None,0,Head,Head Away,Head Away,0,,0,227
61683,SSSfLtXLW9rRbABfNqRT,35,1750,train,asllex,champ,curved_5,imrp,Curved,0,1,0,Open,0,Asymmetrical Different Handshape,Straight,0,Hand,Finger Tip,,1,1,0,2353
49176,jqHNAlToMbC5CU9Z4Fo2,30,1670,train,asllex,argue,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,0,1,0,740
61805,7ZRJ9GpypVxsCKo0WiBr,57,1327,test,asllex,kiss_fist,s,imrp,Fully Closed,0,,0,Closed,1,One Handed,Straight,0,Head,Mouth,Head Away,1,,0,166
15456,MXcudOAzfrjDbr51bT4g,62,1623,train,asllex,animal,flat_b,imrp,Flat,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Torso Top,,1,flat_b,0,16
55822,aOEi1IqjtDFnkLoH10yw,39,3913,train,freetext,eight o clock,,,,,,,,,,,,,,,,,,
25486,5I9U9NPjgFclP92KbiBu,14,2027,train,asllex,wash_machine,curved_5,imrp,Curved,0,1,0,Open,0,Symmetrical Or Alternating,None,1,Neutral,Neutral,,0,curved_5,1,1413
54326,xputTJZkvAjQ7fvBduz1,30,1908,train,asllex,goosebumps,curved_4,imrp,Curved,0,1,0,Closed,0,One Handed,Straight,0,Arm,Forearm Back,Forearm Back,1,,0,
